,index,province,date,case,death,recovered,population,area (km^2),north border (latitude),south border (latitude),east border (longitude),west border (longitude)
154,60,BALI,28-05-2020,5,0,12,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
155,61,BALI,29-05-2020,23,0,6,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
156,62,BALI,30-05-2020,12,0,8,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
157,63,BALI,31-05-2020,10,0,1,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
158,64,BALI,1/6/2020,17,1,5,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
159,65,BALI,2/6/2020,5,0,0,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
160,66,BALI,3/6/2020,3,0,15,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
161,67,BALI,4/6/2020,20,0,15,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
162,68,BALI,5/6/2020,14,0,5,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
163,69,BALI,6/6/2020,33,0,2,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
164,70,BALI,7/6/2020,25,0,2,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
165,71,BALI,8/6/2020,12,0,4,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
166,72,BALI,9/6/2020,14,0,32,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
167,73,BALI,10/6/2020,32,0,3,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
168,74,BALI,11/6/2020,19,0,12,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
169,75,BALI,12/6/2020,36,0,24,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
170,76,BALI,13-06-2020,28,1,14,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
171,77,BALI,14-06-2020,18,0,12,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
172,78,BALI,15-06-2020,19,0,28,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
173,79,BALI,16-06-2020,22,0,8,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
174,80,BALI,17-06-2020,47,0,32,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
175,81,BALI,18-06-2020,65,0,11,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
176,82,BALI,19-06-2020,81,0,13,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
177,83,BALI,20-06-2020,36,1,20,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
178,84,BALI,21-06-2020,36,2,17,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
179,85,BALI,22-06-2020,31,0,12,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
180,86,BALI,23-06-2020,35,0,24,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
181,87,BALI,24-06-2020,44,0,7,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
182,88,BALI,25-06-2020,56,2,11,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
183,89,BALI,26-06-2020,49,0,73,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
184,90,BALI,27-06-2020,107,0,21,4.362.000,5.78,-8.0615889,-8.8504316,115.7114992,114.4315327
185,0,BANTEN,6/3/2020,1,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
186,1,BANTEN,7/3/2020,0,0,0,12.959.200,9.663,-5.4996381,-7.4565894,106.7800127,104.6513179
